Datetime,Leg,Team,OBR,Video,Length,People,Description,Tags
2017-10-26 02:06:25,1,Vestas 11th Hour Racing,James Blake,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105039_13-01-171026-veh-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105039_13-01-171026-veh-00001_00002_480x270.jpg""))",,,,
2017-10-25 19:44:52,1,Sun Hung Kai/Scallywag,Jeremie Lecaudey,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105024_13-01-171025-shk-00006_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105024_13-01-171025-shk-00006_00002_480x270.jpg""))",,,,
2017-10-25 19:42:23,1,team AkzoNobel,Konrad Frost,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105019_13-01-171025-azn-00004_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105019_13-01-171025-azn-00004_00002_480x270.jpg""))",,,,
2017-10-25 19:38:32,1,Dongfeng Race Team,Richard Edwards,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105018_13-01-171025-dfg-00007_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105018_13-01-171025-dfg-00007_00002_480x270.jpg""))",,,,
2017-10-25 19:17:39,1,Turn the Tide on Plastic,Jen Edney,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105015_13-01-171025-ttt-00006_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105015_13-01-171025-ttt-00006_00002_480x270.jpg""))",,,,
2017-10-25 19:12:38,1,Team Brunel,Martin Keruzoré,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105011_13-01-171025-bnl-00003_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105011_13-01-171025-bnl-00003_00002_480x270.jpg""))",,,,
2017-10-25 18:11:43,1,Turn the Tide on Plastic,Jen Edney,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105003_13-01-171025-ttt-00004_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105003_13-01-171025-ttt-00004_00002_480x270.jpg""))",,,,
2017-10-25 15:19:34,1,Sun Hung Kai/Scallywag,Jeremie Lecaudey,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m105001_13-01-171025-shk-00004_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m105001_13-01-171025-shk-00004_00002_480x270.jpg""))",,,,
2017-10-25 14:28:07,1,Vestas 11th Hour Racing,James Blake,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104996_13-01-171025-veh-00003_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104996_13-01-171025-veh-00003_00002_480x270.jpg""))",,,,
2017-10-25 13:52:32,1,team AkzoNobel,Konrad Frost,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104992_13-01-171025-azn-kfr-00003_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104992_13-01-171025-azn-kfr-00003_00002_480x270.jpg""))",,,,
